Votado| B| CLAIM| NA| NA| 0
.| O| NA| NA| NA| 0
No| O| NA| NA| NA| 0
obstante| O| NA| NA| NA| 0
la| B| PREMISE| OPPOSITION| ATTACK| -3
idea| I| PREMISE| OPPOSITION| ATTACK| -3
de| I| PREMISE| OPPOSITION| ATTACK| -3
continuar| I| PREMISE| OPPOSITION| ATTACK| -3
el| I| PREMISE| OPPOSITION| ATTACK| -3
túnel| I| PREMISE| OPPOSITION| ATTACK| -3
que| I| PREMISE| OPPOSITION| ATTACK| -3
ahora| I| PREMISE| OPPOSITION| ATTACK| -3
existe| I| PREMISE| OPPOSITION| ATTACK| -3
más| I| PREMISE| OPPOSITION| ATTACK| -3
allá| I| PREMISE| OPPOSITION| ATTACK| -3
de| I| PREMISE| OPPOSITION| ATTACK| -3
Príncipe| I| PREMISE| OPPOSITION| ATTACK| -3
Pío| I| PREMISE| OPPOSITION| ATTACK| -3
hasta| I| PREMISE| OPPOSITION| ATTACK| -3
Plaza| I| PREMISE| OPPOSITION| ATTACK| -3
de| I| PREMISE| OPPOSITION| ATTACK| -3
España| I| PREMISE| OPPOSITION| ATTACK| -3
para| I| PREMISE| OPPOSITION| ATTACK| -3
conectar| I| PREMISE| OPPOSITION| ATTACK| -3
con| I| PREMISE| OPPOSITION| ATTACK| -3
el| I| PREMISE| OPPOSITION| ATTACK| -3
túnel| I| PREMISE| OPPOSITION| ATTACK| -3
de| I| PREMISE| OPPOSITION| ATTACK| -3
Bailén| I| PREMISE| OPPOSITION| ATTACK| -3
es| I| PREMISE| OPPOSITION| ATTACK| -3
la| I| PREMISE| OPPOSITION| ATTACK| -3
única| I| PREMISE| OPPOSITION| ATTACK| -3
salida| I| PREMISE| OPPOSITION| ATTACK| -3
.| O| NA| NA| NA| 0
Recordemos| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
esta| B| PREMISE| REASON| SUPPORT| -1
vía| I| PREMISE| REASON| SUPPORT| -1
es| I| PREMISE| REASON| SUPPORT| -1
el| I| PREMISE| REASON| SUPPORT| -1
único| I| PREMISE| REASON| SUPPORT| -1
gran| I| PREMISE| REASON| SUPPORT| -1
acceso| I| PREMISE| REASON| SUPPORT| -1
desde| I| PREMISE| REASON| SUPPORT| -1
el| I| PREMISE| REASON| SUPPORT| -1
Oeste| I| PREMISE| REASON| SUPPORT| -1
al| I| PREMISE| REASON| SUPPORT| -1
Centro| I| PREMISE| REASON| SUPPORT| -1
de| I| PREMISE| REASON| SUPPORT| -1
la| I| PREMISE| REASON| SUPPORT| -1
ciudad| I| PREMISE| REASON| SUPPORT| -1
,| O| NA| NA| NA| 0
carece| B| PREMISE| REASON| SUPPORT| -1
de| I| PREMISE| REASON| SUPPORT| -1
alternativas| I| PREMISE| REASON| SUPPORT| -1
,| I| PREMISE| REASON| SUPPORT| -1
dada| I| PREMISE| REASON| SUPPORT| -1
la| I| PREMISE| REASON| SUPPORT| -1
orografía| I| PREMISE| REASON| SUPPORT| -1
tan| I| PREMISE| REASON| SUPPORT| -1
especial| I| PREMISE| REASON| SUPPORT| -1
de| I| PREMISE| REASON| SUPPORT| -1
Madrid| I| PREMISE| REASON| SUPPORT| -1
.| O| NA| NA| NA| 0
Sin| O| NA| NA| NA| 0
embargo| O| NA| NA| NA| 0
parece| B| PREMISE| OPPOSITION| ATTACK| -3
sensato| I| PREMISE| OPPOSITION| ATTACK| -3
establecer| I| PREMISE| OPPOSITION| ATTACK| -3
por| I| PREMISE| OPPOSITION| ATTACK| -3
sentido| I| PREMISE| OPPOSITION| ATTACK| -3
un| I| PREMISE| OPPOSITION| ATTACK| -3
carril-bus| I| PREMISE| OPPOSITION| ATTACK| -3
y| I| PREMISE| OPPOSITION| ATTACK| -3
un| I| PREMISE| OPPOSITION| ATTACK| -3
carril-servicio| I| PREMISE| OPPOSITION| ATTACK| -3
a| I| PREMISE| OPPOSITION| ATTACK| -3
30| I| PREMISE| OPPOSITION| ATTACK| -3
km/h| I| PREMISE| OPPOSITION| ATTACK| -3
.| O| NA| NA| NA| 0
Por| O| NA| NA| NA| 0
lo| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
tendríamos| B| PREMISE| RESULT| SUPPORT| -1
4| I| PREMISE| RESULT| SUPPORT| -1
carriles| I| PREMISE| RESULT| SUPPORT| -1
pacificados| I| PREMISE| RESULT| SUPPORT| -1
y| I| PREMISE| RESULT| SUPPORT| -1
un| I| PREMISE| RESULT| SUPPORT| -1
inmenso| I| PREMISE| RESULT| SUPPORT| -1
bulevar| I| PREMISE| RESULT| SUPPORT| -1
.| O| NA| NA| NA| 0
Pensemos| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
hacer| B| PREMISE| ALTERNATIVE| SUPPORT| -5
la| I| PREMISE| ALTERNATIVE| SUPPORT| -5
Puerta| I| PREMISE| ALTERNATIVE| SUPPORT| -5
de| I| PREMISE| ALTERNATIVE| SUPPORT| -5
San| I| PREMISE| ALTERNATIVE| SUPPORT| -5
Vicente| I| PREMISE| ALTERNATIVE| SUPPORT| -5
practicable| I| PREMISE| ALTERNATIVE| SUPPORT| -5
como| I| PREMISE| ALTERNATIVE| SUPPORT| -5
acceso| I| PREMISE| ALTERNATIVE| SUPPORT| -5
al| I| PREMISE| ALTERNATIVE| SUPPORT| -5
río| I| PREMISE| ALTERNATIVE| SUPPORT| -5
,| O| NA| NA| NA| 0
algo| B| PREMISE| ADDITION| SUPPORT| -1
aplicable| I| PREMISE| ADDITION| SUPPORT| -1
a| I| PREMISE| ADDITION| SUPPORT| -1
la| I| PREMISE| ADDITION| SUPPORT| -1
Puerta| I| PREMISE| ADDITION| SUPPORT| -1
de| I| PREMISE| ADDITION| SUPPORT| -1
Toledo| I| PREMISE| ADDITION| SUPPORT| -1
y| I| PREMISE| ADDITION| SUPPORT| -1
Alcalá| I| PREMISE| ADDITION| SUPPORT| -1
.| O| NA| NA| NA| 0

Ya| O| NA| NA| NA| 0
veo| O| NA| NA| NA| 0
lo| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
te| O| NA| NA| NA| 0
encantan| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
perros| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
mucho| O| NA| NA| NA| 0
te| O| NA| NA| NA| 0
quiero| O| NA| NA| NA| 0
perrito| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
pero| O| NA| NA| NA| 0
pan| O| NA| NA| NA| 0
poquito| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
Quizás| O| NA| NA| NA| 0
tu| O| NA| NA| NA| 0
eres| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
piensa| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
mejor| O| NA| NA| NA| 0
un| O| NA| NA| NA| 0
perro| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
un| O| NA| NA| NA| 0
chalet| O| NA| NA| NA| 0
con| O| NA| NA| NA| 0
vistas| O| NA| NA| NA| 0
al| O| NA| NA| NA| 0
campo| O| NA| NA| NA| 0
aunque| O| NA| NA| NA| 0
esté| O| NA| NA| NA| 0
solo| O| NA| NA| NA| 0
pero| O| NA| NA| NA| 0
está| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
el| O| NA| NA| NA| 0
campo| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
Como| O| NA| NA| NA| 0
bien| O| NA| NA| NA| 0
sabes| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
el| O| NA| NA| NA| 0
perro| O| NA| NA| NA| 0
es| O| NA| NA| NA| 0
un| O| NA| NA| NA| 0
animal| O| NA| NA| NA| 0
gregario| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
seguramente| O| NA| NA| NA| 0
desea| O| NA| NA| NA| 0
estar| O| NA| NA| NA| 0
donde| O| NA| NA| NA| 0
esté| O| NA| NA| NA| 0
su| O| NA| NA| NA| 0
dueño| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
le| O| NA| NA| NA| 0
quiera| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
punto| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
Esos| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
según| O| NA| NA| NA| 0
tú| O| NA| NA| NA| 0
utilizamos| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
abusamos| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
vía| O| NA| NA| NA| 0
pública| O| NA| NA| NA| 0
pagamos| O| NA| NA| NA| 0
nuestros| O| NA| NA| NA| 0
impuestos| O| NA| NA| NA| 0
como| O| NA| NA| NA| 0
el| O| NA| NA| NA| 0
resto| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
mortales| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
Los| O| NA| NA| NA| 0
perros| O| NA| NA| NA| 0
también| O| NA| NA| NA| 0
tienen| O| NA| NA| NA| 0
derecho| O| NA| NA| NA| 0
a| O| NA| NA| NA| 0
vivir| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
El| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
ensucia| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
es| O| NA| NA| NA| 0
sucio| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
tenga| O| NA| NA| NA| 0
perro| O| NA| NA| NA| 0
o| O| NA| NA| NA| 0
no| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
así| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
simple| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
no| O| NA| NA| NA| 0
metas| O| NA| NA| NA| 0
a| O| NA| NA| NA| 0
todo| O| NA| NA| NA| 0
el| O| NA| NA| NA| 0
mundo| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
el| O| NA| NA| NA| 0
mismo| O| NA| NA| NA| 0
saco| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
A| O| NA| NA| NA| 0
lo| O| NA| NA| NA| 0
mejor| O| NA| NA| NA| 0
a| O| NA| NA| NA| 0
ti| O| NA| NA| NA| 0
no| O| NA| NA| NA| 0
te| O| NA| NA| NA| 0
molestan| O| NA| NA| NA| 0
ni| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
ruidos| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
papeles| O| NA| NA| NA| 0
tirados| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
escupitajos| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
meadas| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
cagadas| O| NA| NA| NA| 0
humanas| O| NA| NA| NA| 0
etc.| O| NA| NA| NA| 0
Etc| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0

De| B| CLAIM| NA| NA| 0
acuerdo| I| CLAIM| NA| NA| 0
pero| O| NA| NA| NA| 0
a| B| PREMISE| OPPOSITION| ATTACK| -1
los| I| PREMISE| OPPOSITION| ATTACK| -1
guarros| I| PREMISE| OPPOSITION| ATTACK| -1
la| I| PREMISE| OPPOSITION| ATTACK| -1
educación| I| PREMISE| OPPOSITION| ATTACK| -1
solo| I| PREMISE| OPPOSITION| ATTACK| -1
les| I| PREMISE| OPPOSITION| ATTACK| -1
entra| I| PREMISE| OPPOSITION| ATTACK| -1
cuando| I| PREMISE| OPPOSITION| ATTACK| -1
les| I| PREMISE| OPPOSITION| ATTACK| -1
tocan| I| PREMISE| OPPOSITION| ATTACK| -1
el| I| PREMISE| OPPOSITION| ATTACK| -1
bolsillo| I| PREMISE| OPPOSITION| ATTACK| -1
,| O| NA| NA| NA| 0
unas| B| PREMISE| EXEMPLIFICATION| SUPPORT| -1
cuantas| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
multas| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
a| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
los| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
guarrazos| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
y| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
ya| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
verá| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
como| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
cunde| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
el| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
ejemplo| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
,| O| NA| NA| NA| 0
sucedió| B| PREMISE| EXEMPLIFICATION| SUPPORT| -2
lo| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
mismo| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
en| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
tráfico| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
hasta| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
que| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
no| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
apareció| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
el| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
carnet| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
por| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
puntos| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
y| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
sus| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
consecuencias| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
no| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
hubo| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
un| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
resultado| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
efectivo| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
.| O| NA| NA| NA| 0

Estás| O| NA| NA| NA| 0
usando| O| NA| NA| NA| 0
el| O| NA| NA| NA| 0
argumento| O| NA| NA| NA| 0
8-80| O| NA| NA| NA| 0
¿| O| NA| NA| NA| 0
Cómo| O| NA| NA| NA| 0
van| O| NA| NA| NA| 0
a| O| NA| NA| NA| 0
coger| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
bicicleta| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
menores| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
8| O| NA| NA| NA| 0
años| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
mayores| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
80| O| NA| NA| NA| 0
¿| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
verdad| O| NA| NA| NA| 0
vas| O| NA| NA| NA| 0
a| O| NA| NA| NA| 0
diseñar| O| NA| NA| NA| 0
una| O| NA| NA| NA| 0
infraestructura| O| NA| NA| NA| 0
completa| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
movilidad| O| NA| NA| NA| 0
ciclista| O| NA| NA| NA| 0
basada| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
cbici| O| NA| NA| NA| 0
para| O| NA| NA| NA| 0
esos| O| NA| NA| NA| 0
colectivos| O| NA| NA| NA| 0
?| O| NA| NA| NA| 0
¿| O| NA| NA| NA| 0
Cuántos| O| NA| NA| NA| 0
niños| O| NA| NA| NA| 0
van| O| NA| NA| NA| 0
solos| O| NA| NA| NA| 0
por| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
acera| O| NA| NA| NA| 0
?| O| NA| NA| NA| 0
¿| O| NA| NA| NA| 0
Cuántos| O| NA| NA| NA| 0
ancianos| O| NA| NA| NA| 0
se| O| NA| NA| NA| 0
desplazan| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
BCN| O| NA| NA| NA| 0
por| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
cbici| O| NA| NA| NA| 0
?| O| NA| NA| NA| 0
¿| O| NA| NA| NA| 0
Qué| O| NA| NA| NA| 0
hacen| O| NA| NA| NA| 0
esos| O| NA| NA| NA| 0
colectivos| O| NA| NA| NA| 0
sino| O| NA| NA| NA| 0
tienen| O| NA| NA| NA| 0
un| O| NA| NA| NA| 0
cbici| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
puerta| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
su| O| NA| NA| NA| 0
casa| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
justo| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
su| O| NA| NA| NA| 0
destino| O| NA| NA| NA| 0
?| O| NA| NA| NA| 0
Lo| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
estás| O| NA| NA| NA| 0
haciendo| O| NA| NA| NA| 0
es| O| NA| NA| NA| 0
promover| O| NA| NA| NA| 0
el| O| NA| NA| NA| 0
miedo| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
no| O| NA| NA| NA| 0
el| O| NA| NA| NA| 0
transporte| O| NA| NA| NA| 0
ciclista| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
Por| O| NA| NA| NA| 0
cierto| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
es| O| NA| NA| NA| 0
el| O| NA| NA| NA| 0
50| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
Cbici| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
están| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
calzada| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
no| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
gran| O| NA| NA| NA| 0
mayoría| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
sólo| O| NA| NA| NA| 0
el| O| NA| NA| NA| 0
25| O| NA| NA| NA| 0
está| O| NA| NA| NA| 0
realmente| O| NA| NA| NA| 0
segregado| O| NA| NA| NA| 0
ya| O| NA| NA| NA| 0
sea| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
acera| O| NA| NA| NA| 0
o| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
calzada| O| NA| NA| NA| 0
Mira| O| NA| NA| NA| 0
un| O| NA| NA| NA| 0
mapa| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
carriles| O| NA| NA| NA| 0
bicicleta| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
dime| O| NA| NA| NA| 0
si| O| NA| NA| NA| 0
te| O| NA| NA| NA| 0
vale| O| NA| NA| NA| 0
para| O| NA| NA| NA| 0
desplazarte| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
un| O| NA| NA| NA| 0
punto| O| NA| NA| NA| 0
a| O| NA| NA| NA| 0
otro| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
ciudad| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
más| O| NA| NA| NA| 0
aún| O| NA| NA| NA| 0
teniendo| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
cuenta| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
debes| O| NA| NA| NA| 0
pasar| O| NA| NA| NA| 0
por| O| NA| NA| NA| 0
pasos| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
peatones| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
subir| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
bajar| O| NA| NA| NA| 0
a| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
acera| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
coger| O| NA| NA| NA| 0
carriles| O| NA| NA| NA| 0
bidireccionales| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
etc.| O| NA| NA| NA| 0
Etc| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
No| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
lo| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
le| O| NA| NA| NA| 0
facilita| O| NA| NA| NA| 0
el| O| NA| NA| NA| 0
uso| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
bicicleta| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
Barcelona| O| NA| NA| NA| 0
es| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
desde| O| NA| NA| NA| 0
2007| O| NA| NA| NA| 0
tienen| O| NA| NA| NA| 0
el| O| NA| NA| NA| 0
bicicleta| O| NA| NA| NA| 0
pública| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
siempre| O| NA| NA| NA| 0
ha| O| NA| NA| NA| 0
habido| O| NA| NA| NA| 0
más| O| NA| NA| NA| 0
bicicletas| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0

Totalmente| B| CLAIM| NA| NA| 0
de| I| CLAIM| NA| NA| 0
acuerdo| I| CLAIM| NA| NA| 0
,| O| NA| NA| NA| 0
pero| O| NA| NA| NA| 0
sinceramente| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
no| B| PREMISE| OPPOSITION| ATTACK| -1
me| I| PREMISE| OPPOSITION| ATTACK| -1
apetece| I| PREMISE| OPPOSITION| ATTACK| -1
esperar| I| PREMISE| OPPOSITION| ATTACK| -1
10| I| PREMISE| OPPOSITION| ATTACK| -1
años| I| PREMISE| OPPOSITION| ATTACK| -1
para| I| PREMISE| OPPOSITION| ATTACK| -1
que| I| PREMISE| OPPOSITION| ATTACK| -1
esté| I| PREMISE| OPPOSITION| ATTACK| -1
limpio| I| PREMISE| OPPOSITION| ATTACK| -1
,| I| PREMISE| OPPOSITION| ATTACK| -1
que| I| PREMISE| OPPOSITION| ATTACK| -1
es| I| PREMISE| OPPOSITION| ATTACK| -1
el| I| PREMISE| OPPOSITION| ATTACK| -1
tiempo| I| PREMISE| OPPOSITION| ATTACK| -1
mínimo| I| PREMISE| OPPOSITION| ATTACK| -1
necesario| I| PREMISE| OPPOSITION| ATTACK| -1
para| I| PREMISE| OPPOSITION| ATTACK| -1
que| I| PREMISE| OPPOSITION| ATTACK| -1
se| I| PREMISE| OPPOSITION| ATTACK| -1
eduque| I| PREMISE| OPPOSITION| ATTACK| -1
a| I| PREMISE| OPPOSITION| ATTACK| -1
la| I| PREMISE| OPPOSITION| ATTACK| -1
gente| I| PREMISE| OPPOSITION| ATTACK| -1
en| I| PREMISE| OPPOSITION| ATTACK| -1
los| I| PREMISE| OPPOSITION| ATTACK| -1
colegios| I| PREMISE| OPPOSITION| ATTACK| -1
,| O| NA| NA| NA| 0
así| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
prefiero| B| PREMISE| OPPOSITION| ATTACK| -2
buenas| I| PREMISE| OPPOSITION| ATTACK| -2
brigadas| I| PREMISE| OPPOSITION| ATTACK| -2
de| I| PREMISE| OPPOSITION| ATTACK| -2
limpieza| I| PREMISE| OPPOSITION| ATTACK| -2
y| I| PREMISE| OPPOSITION| ATTACK| -2
sanciones| I| PREMISE| OPPOSITION| ATTACK| -2
duras| I| PREMISE| OPPOSITION| ATTACK| -2
contra| I| PREMISE| OPPOSITION| ATTACK| -2
los| I| PREMISE| OPPOSITION| ATTACK| -2
guarros| I| PREMISE| OPPOSITION| ATTACK| -2
.| O| NA| NA| NA| 0

A| O| NA| NA| NA| 0
esos| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
dicen| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
las| O| NA| NA| NA| 0
bicicletas| O| NA| NA| NA| 0
molestan| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
Pub| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
al| O| NA| NA| NA| 0
lado| O| NA| NA| NA| 0
orinan| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
calle| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
etc.| O| NA| NA| NA| 0
Les| O| NA| NA| NA| 0
digo| O| NA| NA| NA| 0
esto| O| NA| NA| NA| 0
:| O| NA| NA| NA| 0
Es| O| NA| NA| NA| 0
el| O| NA| NA| NA| 0
típico| O| NA| NA| NA| 0
argumento| O| NA| NA| NA| 0
del| O| NA| NA| NA| 0
delincuente| O| NA| NA| NA| 0
:| O| NA| NA| NA| 0
¿| O| NA| NA| NA| 0
por| O| NA| NA| NA| 0
qué| O| NA| NA| NA| 0
mi| O| NA| NA| NA| 0
perro| O| NA| NA| NA| 0
no| O| NA| NA| NA| 0
puede| O| NA| NA| NA| 0
orinar| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
calle| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
si| O| NA| NA| NA| 0
hay| O| NA| NA| NA| 0
gente| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
incluso| O| NA| NA| NA| 0
vomita| O| NA| NA| NA| 0
?| O| NA| NA| NA| 0
¿| O| NA| NA| NA| 0
Porqué| O| NA| NA| NA| 0
no| O| NA| NA| NA| 0
puedo| O| NA| NA| NA| 0
robar| O| NA| NA| NA| 0
o| O| NA| NA| NA| 0
ser| O| NA| NA| NA| 0
corrupto| O| NA| NA| NA| 0
si| O| NA| NA| NA| 0
hay| O| NA| NA| NA| 0
gente| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
es| O| NA| NA| NA| 0
mucho| O| NA| NA| NA| 0
más| O| NA| NA| NA| 0
corrupta| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
yo| O| NA| NA| NA| 0
?| O| NA| NA| NA| 0
Además| O| NA| NA| NA| 0
si| O| NA| NA| NA| 0
multiplicamos| O| NA| NA| NA| 0
14| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
litros| O| NA| NA| NA| 0
tres| O| NA| NA| NA| 0
veces| O| NA| NA| NA| 0
al| O| NA| NA| NA| 0
día| O| NA| NA| NA| 0
por| O| NA| NA| NA| 0
perro| O| NA| NA| NA| 0
al| O| NA| NA| NA| 0
día| O| NA| NA| NA| 0
por| O| NA| NA| NA| 0
300000| O| NA| NA| NA| 0
perros| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
tiene| O| NA| NA| NA| 0
Madrid| O| NA| NA| NA| 0
salen| O| NA| NA| NA| 0
225| O| NA| NA| NA| 0
mil| O| NA| NA| NA| 0
litros| O| NA| NA| NA| 0
225000| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
orines| O| NA| NA| NA| 0
diarios| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
las| O| NA| NA| NA| 0
calles| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
Madrid| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
Los| O| NA| NA| NA| 0
vómitos| O| NA| NA| NA| 0
u| O| NA| NA| NA| 0
orines| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
humanos| O| NA| NA| NA| 0
son| O| NA| NA| NA| 0
algo| O| NA| NA| NA| 0
insignificante| O| NA| NA| NA| 0
comparado| O| NA| NA| NA| 0
con| O| NA| NA| NA| 0
eso| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
Hagamos| O| NA| NA| NA| 0
una| O| NA| NA| NA| 0
encuesta| O| NA| NA| NA| 0
